zone_id,pixel_count_masked_utm4_hi_hawaii_2021_ccap_0.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_1.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_2.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_3.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_4.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_5.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_6.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_7.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_8.tif_3x3.tif,pixel_count_masked_utm4_hi_honolulu_2021_ccap_0.tif_3x3.tif,pixel_count_masked_utm4_hi_honolulu_2021_ccap_1.tif_3x3.tif,pixel_count_masked_utm4_hi_honolulu_2021_ccap_2.tif_3x3.tif,pixel_count_masked_utm4_hi_honolulu_2021_ccap_3.tif_3x3.tif,pixel_count_masked_utm4_hi_kauai_2021_ccap_0.tif_3x3.tif,pixel_count_masked_utm4_hi_kauai_2021_ccap_1.tif_3x3.tif,pixel_count_masked_utm4_hi_kauai_2021_ccap_2.tif_3x3.tif,pixel_count_masked_utm4_hi_kauai_2021_ccap_3.tif_3x3.tif,pixel_count_masked_utm4_hi_maui_2021_ccap_0.tif_3x3.tif,pixel_count_masked_utm4_hi_maui_2021_ccap_1.tif_3x3.tif,pixel_count_masked_utm4_hi_maui_2021_ccap_2.tif_3x3.tif,pixel_count_masked_utm4_hi_maui_2021_ccap_3.tif_3x3.tif
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191074,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,3179330,0,0,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,0,3029524,157,870167,0,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0,0,2443055,0,0,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0,0,0,1497377,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30194,0
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6664,127284
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761865,0,0
138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16856,0,0
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29479,0,0
140,832451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,606908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,44596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0,28508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0,16245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,294842,0,0,0,0,0,0,0,0,0,0,0,0,0
146,0,0,0,0,614,3124370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,169891,0,0,0,0,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,90999,87849,0,0,0,0,0,0,0,0,0,0,0,0
149,0,0,36948,0,0,246990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,158,2324836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0,0,0,0,0,3904,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0,0,0,0,3220,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25591,5560,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18432,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327248,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313046,0,0,0,0
157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168665,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0,414522,0,55261,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0,0,0,228418,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96478,0
161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72388,0,0,0
162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5132,0,44,0
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10362,0,0,0
